"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","15431D","033","3:30-4:50pm","Tue, Thu","5","0","0","","ONLINE"
"FBE-558","Law for Structuring, Financing, and Managing Businesses","MC","3.0 units","Lecture","15440R","033","6:30-9:30pm","Tuesday","77","0","0","Kerry Fields","JKP112"
"FBE-559","Management of Financial Risk","P","3.0 units","Lecture","15444R","033","6:30-9:30pm","Tuesday","40","0","0","Jason Donaldson","JFF322"
"FBE-560","Mergers and Acquisitions","P","3.0 units","Lecture","15447R","033","6:30-9:30pm","Monday","36","0","0","","JKP204"
"FBE-589","Mortgages and Mortgage-Backed Securities and Markets","P","3.0 units","Lecture","15473R","033","6:30-9:30pm","Thursday","52","0","0","Richard Green","JKP202"
"FBE-590","Directed Research","","1.0-12.0 units","Lecture","15475D","033","TBA","","5","0","0","","OFFICE"
"FBE-591","Real Estate Finance and Investment","P","3.0 units","Lecture","15477R","033","5:00-6:20pm","Mon, Wed","54","0","0","","JKP202"
"FBE-593","Independent Research in Finance or Business Economics","C","0.5-4.0 units, max 12","Lecture","15480D","033","TBA","","10","0","0","","OFFICE"
"FBE-595","Internship in Finance or Business Economics","MC","0.5-2.0 units, max 9","Lecture","15493D","033","TBA","","11","0","0","","OFFICE"
"FBE-596","Research Practicum in Finance or Business Economics","C","0.5-2.0 units, max 8","Lecture","15483D","033","TBA","","10","0","0","","OFFICE"
"","","","","Lecture","15494D","033","TBA","","10","0","0","","OFFICE"
"FBE-597","Consulting Project in Finance or Business Economics","C","0.5-5.0 units, max 12","Lecture","15484D","033","TBA","","3","0","0","","OFFICE"
"FBE-621","Research Forum","MC","1.0 units, max 6","Lecture","15486R","033","9:45-10:30am","Friday","25","0","0","Kenneth Ahern Lukas Schmid","HOH114"
"FBE-670","Selected Topics in Finance Research","C","1.5 units, max 6"
"","Psychology and Financial Markets","","1.5","Lecture","15487R","033","2:00-4:50pm","Thursday","15","0","0","","ACC312"
