"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"NAUT-301a","Seamanship and Navigation","","2.0 units","Lecture","41860R","001","6:00-8:50pm","Monday","48","0","0","Lars Harding","DMC152"
"","","","","Lecture","41861R","001","6:00-8:50pm","Monday","48","0","0","John K Ugoretz","DMC102"
"","","","","Lecture","41862R","001","6:00-8:50pm","Wednesday","44","0","0","Paul Prioleau","GFS207"
"","","","","Lecture","41863R","001","6:00-8:50pm","Tuesday","40","0","0","David Monk","GFS207"
"","","","","Lecture","41864R","001","6:00-8:50pm","Tuesday","40","0","0","Lars Harding","PED300"
"NAUT-301b","Seamanship and Navigation","P","2.0 units","Lecture","41865R","001","6:00-7:50pm","Wednesday","25","0","0","Lars Harding","PED300"
"NAUT-302ax","Advanced Seamanship and Navigation","P","2.0 units","Lecture","41866R","001","3:00-4:50pm","Wednesday","25","0","0","Lars Harding","PED300"
