"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ENGL-344mg","Sexual/Textual Diversity","","4.0 units","Lecture","32745R","001","3:30-4:50pm","Mon, Wed","19","0","0","Sarah Kessler","DMC260"
"ENGL-361g","Contemporary Prose","","4.0 units","Lecture","32711R","001","2:00-3:20pm","Tue, Thu","19","0","0","Jonathan Leal","THH113"
"ENGL-362g","Contemporary Poetry","","4.0 units","Lecture","32712R","001","9:30-10:50am","Tue, Thu","19","0","0","Robin Lewis","WPH400"
"","","","","Lecture","32713R","001","2:00-3:20pm","Mon, Wed","19","0","0","","THH113"
"","","","","Lecture","32714R","001","5:00-6:20pm","Mon, Wed","19","0","0","","THH209"
"ENGL-363g","Contemporary Drama","","4.0 units","Lecture","32770R","001","12:00-12:50pm","MWF","19","0","0","Ben Levine","THH113"
"ENGL-371g","Literary Genres and Film","","4.0 units","Lecture","32715R","001","5:00-6:20pm","Mon, Wed","19","0","0","Rick Berg","THH207"
"ENGL-372","Literature and Related Arts","","4.0 units, max 8","Lecture","32716R","001","2:00-4:50pm","Tuesday","19","0","0","Enrique Martinez Celaya","THH217"
"ENGL-405","Fiction Writing","P","4.0 units, max 8","Lecture","32729R","001","2:00-4:50pm","Wednesday","12","0","0","Percival Everett","DMC103"
"","","","","Lecture","32730R","001","2:00-4:50pm","Tuesday","12","0","0","",""
"ENGL-406","Poetry Writing","P","4.0 units, max 8","Lecture","32734R","001","2:00-4:50pm","Thursday","12","0","0","Susan Mccabe","THH107"
"ENGL-407","Advanced Fiction Writing","P","4.0 units, max 8","Lecture","32733D","001","2:00-4:50pm","Tuesday","12","0","0","Aimee Bender","DMC153"
"ENGL-422","English Literature of the 17th Century","P","4.0 units","Lecture","32812R","001","3:30-4:50pm","Tue, Thu","12","0","0","Steven Minas","SOSB50"
"ENGL-430","Shakespeare","","4.0 units","Lecture","32742R","001","3:30-4:50pm","Tue, Thu","19","0","0","Thea Tomaini","THHB9"
"ENGL-440","American Literature to 1865","","4.0 units","Lecture","32743R","001","10:00-11:50am","Mon, Wed","19","0","0","Thomas Gustafson","SOSB47"
"ENGL-446","Contemporary African American Literature","","4.0 units","Lecture","32790R","001","2:00-3:20pm","Tue, Thu","21","0","0","Melissa Daniels-Rauterkus","WPH206"
