"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","51272D","001","6:00-9:20pm","Thursday","22","0","0","Norris Gunby","VPD112"
"","","","","Lecture","51278D","001","6:00-9:20pm","Thursday","22","0","0","","VPD105"
"PPD-518","Quality of Care Concepts","","2.0 units","Lecture","51778D","820","TBA","","15","0","0","","ONLINE"
"PPD-522","Planning Theory and History for a Just Society","","4.0 units","Lecture","51200R","001","2:00-5:20pm","Wednesday","65","0","0","David Sloane","VPD112"
"PPD-531L","Planning Studio","","4.0-12.0 units, max 12","Lecture-Lab","51212D","001","8:30-11:50am","Thursday","24","0","0","",""
"","","","","Lecture-Lab","51213D","001","6:00-9:20pm","Tuesday","24","0","0","","VPD107"
"","","","","Lecture-Lab","51214D","001","6:00-9:20pm","Thursday","24","0","0","","RGL219"
"PPD-534","Data, Evidence, and Communication of the Public Good","","4.0 units","Lecture","51284R","001","2:00-5:20pm","Tuesday","65","0","0","Geoff Boeing","RGL101"
"PPD-540","Fundamentals of Public Administration","C","4.0 units","Lecture","51218R","001","6:00-9:20pm","Tuesday","10","0","0","William Resh",""
"","","","","Lecture","51460D","593","TBA","","20","0","0","Tara Blanc","ONLINE"
"","","","","Lecture","51461D","593","TBA","","20","0","0","Tara Blanc","ONLINE"
"PPD-541","Public Financial Management and Budgeting","","4.0 units","Lecture","51462D","593","TBA","","28","0","0","Juliet Musso","ONLINE"
"PPD-542","Policy and Program Evaluation","P","4.0 units","Lecture","51222R","001","6:00-9:20pm","Tuesday","18","0","0","Howard Greenwald","VPD116"
"","","","","Lecture","51237R","001","6:00-9:20pm","Monday","18","0","0","Nicole Esparza","VPD110"
"","","","","Lecture","51463D","593","TBA","","25","0","0","William Leach","ONLINE"
"PPD-543","Internship Seminar","","1.0 unit","Lecture","51224R","001","6:00-7:50pm","Wednesday","15","0","0","Thomas Eng","DMC109"
"PPD-545","Public and Nonprofit Organizational Behavior","C","4.0 units","Lecture","51226R","001","2:00-5:20pm","Wednesday","10","0","0","Deborah Natoli","RGL219"
"","","","","Lecture","51249R","001","6:00-9:20pm","Tuesday","10","0","0","Deborah Natoli","RGL219"
"","","","","Lecture","51250R","001","2:00-5:20pm","Thursday","10","0","0","Howard Greenwald","RGL219"
"PPD-546","Capstone in Public Administration","PC","4.0 units","Lecture","51466D","593","TBA","","20","0","0","Dora Kingsley Vertenten","ONLINE"
"PPD-554","Foundations of Policy Analysis","","4.0 units","Lecture","51274D","001","2:00-5:20pm","Tuesday","5","0","0","Pamela Mccann","RGL209"
"","","","","Lecture","51276D","001","2:00-5:20pm","Thursday","5","0","0","Grace Bahng","VPDLL101"
"","","","","Lecture","51279D","001","6:00-9:20pm","Tuesday","5","0","0","","VPD106"
"","","","","Lecture","51467D","593","TBA","","20","0","0","Dora Kingsley Vertenten","ONLINE"
"PPD-557","Modeling and Operations Research","PC","4.0 units","Lecture","51208R","001","6:00-9:20pm","Tuesday","28","0","0","Jeffrey Smith","DMC201"
"PPD-558","Multivariate Statistical Analysis","P","4.0 units","Lecture","51202D","001","2:00-5:20pm","Thursday","5","0","0","T.J. Mccarthy","RGL100"
"","","","","Lecture","51221D","001","10:00-11:50am","Tue, Thu","5","0","0","Emma Aguila Vega","RGL215"
"","","","","Lecture","51270D","001","6:00-9:20pm","Monday","5","0","0","Juan Machado","DMC200"
"","","","","Lecture","51281D","001","2:00-5:20pm","Tuesday","5","0","0","T.J. Mccarthy","VPD110"
"PPD-561a","Policy Analysis Practicum","PC","1.0 unit","Lecture","51268D","060","10:00-11:50am","Monday","49","0","0","Juliet Musso Grace Bahng","ONLINE"
"PPD-569","Applied International Policy Analysis and Management Project","","4.0 units","Lecture","51351D","785","2:00-5:20pm","Monday","20","0","0","","RGL219"
"PPD-570","Applied Statistics for Planning, Policy, and Management","","4.0 units","Lecture","51352D","785","6:00-9:20pm","Wednesday","25","0","0","Michael Lin",""
"PPD-571","International Public Policy and Management Seminar","","4.0 units","Lecture","51356D","785","2:00-5:20pm","Tuesday","25","0","0","Rym Kaki","RGL215"
"PPD-587","Risk Analysis","","4.0 units","Lecture","51282R","001","6:00-9:20pm","Monday","32","0","0","Ali Nowroozi","VPD105"
"PPD-588","Legal Issues in Transportation Planning","","2.0 units","Lecture","29813R","048","6:30-8:10pm","Monday","25","0","0","Patrick Harder","GFS105"
"PPD-590","Directed Research","","1.0-12.0 units","Lecture","51227D","001","TBA","","15","0","0","","OFFICE"
"PPD-596","Internship for Curricular Practical Training","MC","1.0-3.0 units, max 3","Lecture","51292D","001","TBA","","10","0","0","Valerie Savior","OFFICE"
"PPD-601","Management of Long-Term Care Organizations","C","4.0 units","Lecture","51396R","597","TBA","","30","0","0","Kate Wilber","ONLINE"
"PPD-605","Frontline Issues in Health Services Administration and Policy","","2.0 units, max 6","Lecture","51303R","790","TBA","","25","0","0","","OFFICE &amp; ONLINE"
"PPD-616","Participatory Methods in Planning and Policy","","4.0 units","Lecture","51296R","001","6:00-9:20pm","Tuesday","20","0","0","","DMC154"
"PPD-619","Smart Growth and Urban Sprawl: Policy Debates and Planning Solutions","","4.0 units","Lecture","51244R","001","6:00-9:20pm","Wednesday","28","0","0","","DMC260"
"PPD-621","Environmental Impacts","","4.0 units","Lecture","51280R","001","2:00-5:20pm","Thursday","24","0","0","Geraldine Knatz","RGL215"
"PPD-623","Community Development and Site Planning","","4.0 units","Lecture","51277R","001","2:00-5:20pm","Wednesday","12","0","0","Elizabeth Falletta","RGL209"
"PPD-624","Local Economic Development: Theory and Finance","","4.0 units","Lecture","51235R","001","6:00-9:20pm","Thursday","16","0","0","","VPD107"
"PPD-628","Urban Planning and Social Policy","","4.0 units","Lecture","51468D","593","TBA","","28","0","0","William Leach","ONLINE"
"PPD-631","Geographic Information Systems for Policy, Planning, and Development","","2.0 units","Lecture","51305R","790","TBA","","24","0","0","Barry Waite Bonnie Shrewsbury","OFFICE &amp; ONLINE"
"PPD-634","Institutional and Policy Issues in Transportation","","4.0 units","Lecture","51239R","001","6:00-9:20pm","Monday","40","0","0","","VPD116"
"PPD-639","Introduction to Community and Economic Development","","4.0 units","Lecture","51266R","001","8:30-11:50am","Wednesday","30","0","0","Elizabeth Currid-Halkett","RGL215"
"PPD-644","Shaping the Built Environment","","4.0 units","Lecture","51253R","001","6:00-9:20pm","Tuesday","24","0","0","Meredith Drake Reitan","RGL215"
"PPD-647","Finance of the Public Sector","PC","4.0 units","Lecture","51254R","001","6:00-9:20pm","Wednesday","24","0","0","Michael Thom","VPD110"
"PPD-672","Collaborative Governance","","4.0 units","Lecture","51297R","001","6:00-9:20pm","Thursday","28","0","0","Frank Zerunyan","VPD106"
"","","","","Lecture","51469D","593","TBA","","20","0","0","William Leach","ONLINE"
"PPD-673","Strategic Planning in the Public Sector","","4.0 units","Lecture","51470D","593","TBA","","20","0","0","Tara Blanc","ONLINE"
"PPD-675","Nonprofit Management and Leadership","","4.0 units","Lecture","51256R","001","2:00-5:20pm","Thursday","30","0","0","Nicole Esparza","VPD110"
"PPD-680","Development of Effective Groups and Organizations","","4.0 units","Lecture","51355D","785","2:00-5:20pm","Thursday","15","0","0","Susan Sinclair","RGL209"
"PPD-683","Homeland Security and Public Policy","","4.0 units","Lecture","51289R","001","6:00-9:20pm","Wednesday","32","0","0","Kristine Beardsley","DMC201"
"PPD-689","The Nonprofit Sector and Philanthropy","","4.0 units","Lecture","51507R","001","2:00-5:20pm","Wednesday","26","0","0","Alexandra Graddy-Reed","RGL215"
"PPD-693","Communicating Public Policy","","4.0 units","Lecture","51204R","001","2:00-5:20pm","Monday","32","0","0","","THH112"
"PPD-706","Research Design","C","4.0 units","Lecture","51285D","001","2:00-5:20pm","Monday","12","0","0","Jeffery Jenkins","RGL304"
"PPD-708","Qualitative Methods","","4.0 units","Lecture","51287D","001","8:30-11:50am","Wednesday","12","0","0","Annette Kim","RGL304"
"PPD-710a","Research Seminar","PC","2.0 units","Lecture","51210D","001","6:30-8:20pm","Tuesday","8","0","0","Dowell Myers","RGL304"
"PPD-711","Theoretical Foundation of Public Management","P","4.0 units","Lecture","51288D","001","9:00-12:20pm","Tuesday","10","0","0","William Resh","RGL304"
"PPD-714","Advanced Urban Development","","4.0 units","Lecture","51290D","001","8:30-11:50am","Thursday","8","0","0","Elizabeth Currid-Halkett","RGL304"
"PPD-716","Econometrics for Policy, Planning and Management I","P","4.0 units","Lecture","51293D","001","2:00-5:20pm","Wednesday","10","0","0","Nicolas Duquette","RGL304"
"PPD-790","Research","","1.0-12.0 units, max 18","Lecture","51203D","001","TBA","","18","0","0","","OFFICE"
"PPD-794a","Doctoral Dissertation","","2.0 units","Lecture","51257D","001","TBA","","18","0","0","","OFFICE"
"PPD-794b","Doctoral Dissertation","P","2.0 units","Lecture","51258D","001","TBA","","18","0","0","","OFFICE"
"PPD-794c","Doctoral Dissertation","P","2.0 units","Lecture","51259D","001","TBA","","18","0","0","","OFFICE"
"PPD-794d","Doctoral Dissertation","P","2.0 units","Lecture","51260D","001","TBA","","18","0","0","","OFFICE"
"PPD-794z","Doctoral Dissertation","P","0.0 units","Lecture","51261D","001","TBA","","25","0","0","","OFFICE"
