Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room,Department
,,,,Quiz,30025R,1.0,7:00-8:50pm,Friday,350.0,0.0,0.0,,TBD,CSCI
CSCI-170,Discrete Methods in Computer Science,P,4.0 units,Lecture,29947D,1.0,10:00-11:50am,"Mon, Wed",170.0,0.0,0.0,Aaron Cote,,CSCI
,,,,Lecture,29953D,1.0,12:30-1:50pm,"Tue, Thu",130.0,0.0,0.0,Aaron Cote,THH102,CSCI
,,,,Lecture,30121D,1.0,11:00-12:50pm,"Mon, Wed",121.0,0.0,0.0,Aaron Cote,ZHS159,CSCI
,,,,Lecture,30138D,1.0,9:30-10:50am,"Tue, Thu",170.0,0.0,0.0,Aaron Cote,,CSCI
,,,,Discussion,29929R,1.0,10:00-11:50am,Friday,55.0,0.0,0.0,,KDC240,CSCI
,,,,Discussion,29954R,1.0,12:00-1:50pm,Friday,55.0,0.0,0.0,,THH210,CSCI
,,,,Discussion,29980R,1.0,12:00-1:50pm,Friday,55.0,0.0,0.0,,KDC235,CSCI
,,,,Discussion,30106R,1.0,2:00-3:50pm,Friday,55.0,0.0,0.0,,DMC100,CSCI
,,,,Discussion,30299R,1.0,2:00-3:50pm,Friday,55.0,0.0,0.0,,SOSB44,CSCI
,,,,Discussion,30300R,1.0,4:00-5:50pm,Friday,55.0,0.0,0.0,,DMC150,CSCI
,,,,Quiz,30027R,1.0,7:00-8:50pm,Tuesday,340.0,0.0,0.0,,TBD,CSCI
CSCI-201,Principles of Software Development,P,4.0 units,Lecture,29909D,1.0,2:00-5:20pm,Monday,50.0,0.0,0.0,,THH208,CSCI
,,,,Lecture,30303D,1.0,2:00-5:20pm,Wednesday,50.0,0.0,0.0,,SOSB46,CSCI
,,,,Lecture,30389D,1.0,11:00-12:20pm,"Tue, Thu",300.0,0.0,0.0,Marco Papa,THH101,CSCI
,,,,Lab,29904D,1.0,6:00-7:50pm,Wednesday,30.0,0.0,0.0,,SAL109,CSCI
,,,,Lab,30107R,1.0,12:00-1:50pm,Monday,30.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,30108R,1.0,10:00-11:50am,Monday,30.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,30134R,1.0,4:00-5:50pm,Tuesday,30.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,30237R,1.0,2:00-3:50pm,Tuesday,30.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,30238R,1.0,12:00-1:50pm,Wednesday,30.0,0.0,0.0,,SAL127,CSCI
,,,,Lab,30239R,1.0,10:00-11:50am,Wednesday,30.0,0.0,0.0,,SAL126,CSCI
,,,,Lab,30241R,1.0,6:00-7:50pm,Tuesday,30.0,0.0,0.0,,SAL109,CSCI
,,,,Lab,30385R,1.0,4:00-5:50pm,Wednesday,30.0,0.0,0.0,,SAL109,CSCI
,,,,Lab,30396D,1.0,6:00-7:50pm,Tuesday,30.0,0.0,0.0,,SAL126,CSCI
,,,,Quiz,30028R,1.0,6:00-7:50pm,Friday,300.0,0.0,0.0,,THH101,CSCI
CSCI-270,Introduction to Algorithms and Theory of Computing,P,4.0 units,Lecture,30109D,1.0,3:30-4:50pm,"Mon, Wed",220.0,0.0,0.0,Mate Szabo,THH101,CSCI
,,,,Discussion,30361R,1.0,10:00-11:50am,Friday,110.0,0.0,0.0,,THH301,CSCI
,,,,Discussion,30362R,1.0,12:00-1:50pm,Friday,110.0,0.0,0.0,,THH102,CSCI
,,,,Quiz,30029R,1.0,7:00-8:50pm,Thursday,220.0,0.0,0.0,,SAL101,CSCI
,,,,Lecture,30190D,1.0,5:30-6:50pm,"Mon, Wed",70.0,0.0,0.0,Jiapeng Zhang,THH102,CSCI
,,,,Discussion,30363R,1.0,2:00-3:50pm,Friday,70.0,0.0,0.0,,THH301,CSCI
,,,,Quiz,30222R,1.0,7:00-8:50pm,Thursday,70.0,0.0,0.0,,GFS116,CSCI
,,,,Lecture,29994D,1.0,8:00-9:20am,"Mon, Wed",30.0,0.0,0.0,,KAP163,CSCI
,,,,Discussion,30245R,1.0,10:00-11:50am,Friday,30.0,0.0,0.0,,SOSB4,CSCI
,,,,Quiz,30294R,1.0,7:00-8:50pm,Thursday,30.0,0.0,0.0,,KAP140,CSCI
CSCI-299,Special Topics,,"1.0-8.0 units, max 8",,,,,,,,,,,CSCI
,Programming Fundamentals for Computational Science,,4.0,Lecture,30159R,1.0,8:00-9:50am,"Tue, Thu",40.0,0.0,0.0,,RTH115,CSCI
,Programming for Applications for Computational Science,,4.0,Lecture,30160R,1.0,8:00-9:50am,"Mon, Wed",35.0,0.0,0.0,,RTH115,CSCI
CSCI-310,Software Engineering,P,4.0 units,Lecture,30113D,1.0,10:00-11:50am,"Mon, Wed",250.0,0.0,0.0,Chao Wang,THH201,CSCI
CSCI-350,Fundamentals of Operating Systems,P,4.0 units,Lecture,30061D,1.0,10:00-11:50am,"Mon, Wed",50.0,0.0,0.0,,VPD105,CSCI
,,,,Lecture,30062D,1.0,4:00-5:50pm,"Tue, Thu",50.0,0.0,0.0,,DMC150,CSCI
,,,,Lecture,30129D,1.0,5:00-6:50pm,"Mon, Wed",50.0,0.0,0.0,,DMC150,CSCI
,,,,Lecture,29969D,1.0,1:00-4:20pm,Friday,180.0,0.0,0.0,Tatyana Ryutov,SLH200,CSCI
,,,,Quiz,29970R,1.0,TBA,,180.0,0.0,0.0,,OFFICE,CSCI
CSCI-353,Internetworking,P,4.0 units,Lecture,30247D,1.0,12:00-1:50pm,"Tue, Thu",140.0,0.0,0.0,,MRF340,CSCI
,,,,Discussion,29977R,1.0,11:00-11:50am,Friday,140.0,0.0,0.0,,SGM101,CSCI
,,,,Lecture,29976D,1.0,5:00-6:50pm,"Mon, Wed",120.0,0.0,0.0,Ramesh Govindan,MHP101,CSCI
,,,,Discussion,30248R,1.0,11:00-11:50am,Friday,120.0,0.0,0.0,,ZHS159,CSCI
CSCI-356,Computer Systems,P,4.0 units,Lecture,29912D,1.0,9:30-10:50am,"Tue, Thu",100.0,0.0,0.0,Mark Redekopp,MHP101,CSCI
,,,,Lecture,30002D,1.0,3:30-4:50pm,"Tue, Thu",100.0,0.0,0.0,Marco Paolieri,ZHS159,CSCI
,,,,Discussion,29916R,1.0,2:00-3:50pm,Friday,67.0,0.0,0.0,,MHP101,CSCI
,,,,Discussion,30124R,1.0,10:00-11:50am,Friday,67.0,0.0,0.0,,MHP101,CSCI
,,,,Discussion,30125R,1.0,12:00-1:50pm,Friday,67.0,0.0,0.0,,MHP101,CSCI
,,,,Quiz,30285R,1.0,4:00-5:50pm,Friday,200.0,0.0,0.0,Mark Redekopp Marco Paolieri,SAL101,CSCI
CSCI-360,Artificial Intelligence: Principles and Foundations,P,4.0 units,Lecture,30031D,1.0,12:00-1:50pm,"Mon, Wed",200.0,0.0,0.0,,,CSCI
,,,,Lecture,30044D,1.0,10:00-11:50am,"Tue, Thu",200.0,0.0,0.0,,,CSCI
,,,,Lecture,30043D,1.0,12:00-1:50pm,"Tue, Thu",300.0,0.0,0.0,Mohammad Reza Rajati,SGM123,CSCI
,,,,Quiz,29983R,1.0,-,,300.0,0.0,0.0,,TBA,CSCI
CSCI-368,Cross-Platform App Development,P,4.0 units,Lecture,31872D,1.0,6:00-9:40pm,Tuesday,60.0,0.0,0.0,,GFS101,CSCI
,,,,Lecture,31873R,1.0,4:00-5:50pm,"Tue, Thu",28.0,0.0,0.0,,WPHB30,CSCI
CSCI-380,Video Game Programming,P,4.0 units,Lecture-Lab,31878R,1.0,2:00-3:50pm,"Tue, Thu",36.0,0.0,0.0,Sanjay Madhav,OHE540,CSCI
,,,,Lecture-Lab,31879D,1.0,7:00-8:50pm,"Tue, Thu",36.0,0.0,0.0,,OHE540,CSCI
,,,,Lecture-Lab,32011R,1.0,10:00-11:50am,"Tue, Thu",33.0,0.0,0.0,Matthew Whiting,WPHB30,CSCI
CSCI-401,Capstone: Design and Construction of Large Software Systems,P,"4.0 units, max 8",Lecture,30153D,1.0,10:00-11:50am,"Mon, Wed",70.0,0.0,0.0,Victor Adamchik,,CSCI
,,,,Lecture,30227R,1.0,8:00-9:50am,"Mon, Wed",319.0,0.0,0.0,Victor Adamchik,THH101,CSCI
CSCI-402,Operating Systems,,4.0 units,Lecture,30197D,1.0,12:00-1:50pm,"Mon, Wed",75.0,0.0,0.0,William Cheng,MRF340,CSCI
,,,,Discussion,30269R,1.0,12:00-12:50pm,Friday,75.0,0.0,0.0,,SOSB46,CSCI
,,,,Lecture,29945D,1.0,10:00-11:50am,"Mon, Wed",80.0,0.0,0.0,William Cheng,OHE132,CSCI
,,,,Discussion,30267R,1.0,10:00-10:50am,Friday,80.0,0.0,0.0,,OHE132,CSCI
,,,,Lecture,29946D,14.0,10:00-11:50am,"Mon, Wed",30.0,0.0,0.0,William Cheng,DEN@Viterbi,CSCI
,,,,Discussion,30145R,14.0,10:00-10:50am,Friday,30.0,0.0,0.0,,DEN@Viterbi,CSCI
CSCI-420,Computer Graphics,PC,4.0 units,Lecture,30230R,1.0,10:00-11:50am,"Mon, Wed",60.0,0.0,0.0,,THH210,CSCI
,,,,Discussion,30372R,1.0,TBA,,60.0,0.0,0.0,,OFFICE,CSCI
CSCI-426,Game Prototyping,,4.0 units,Lecture,30242D,1.0,1:00-4:20pm,Wednesday,26.0,0.0,0.0,Andrew Nealen,SCB104,CSCI
CSCI-430,Computer and Network Security,P,4.0 units,Lecture,29911D,1.0,2:00-3:50pm,"Tue, Thu",50.0,0.0,0.0,,,CSCI
,,,,Lecture,29997D,1.0,3:30-5:20pm,"Mon, Wed",50.0,0.0,0.0,Jelena Mirkovic,DMC102,CSCI
CSCI-431,Principles of Functional Programming,P,4.0 units,Lecture,30154D,1.0,4:00-5:50pm,"Tue, Thu",30.0,0.0,0.0,Mukund Raghothaman,GFS223,CSCI
CSCI-435,Professional C++,P,4.0 units,Lecture,31885R,1.0,5:00-6:50pm,"Tue, Thu",70.0,0.0,0.0,Sanjay Madhav,THH212,CSCI
CSCI-444,Natural Language Processing,P,4.0 units,Lecture,30175D,1.0,10:00-11:50am,"Mon, Wed",35.0,0.0,0.0,Swabha Swayamdipta,WPH106,CSCI
CSCI-445L,Introduction to Robotics,PC,4.0 units,Lecture,29955D,1.0,4:00-5:50pm,"Tue, Thu",50.0,0.0,0.0,,SOSB46,CSCI
,,,,Lecture,30386D,1.0,11:00-12:20pm,"Tue, Thu",30.0,0.0,0.0,Heather Culbertson,WPH102,CSCI
,,,,Lab,29956R,1.0,1:00-3:50pm,Tuesday,15.0,0.0,0.0,,RTH419,CSCI
,,,,Lab,29958R,1.0,1:00-3:50pm,Thursday,15.0,0.0,0.0,,RTH419,CSCI
CSCI-450,Introduction to Computer Networks,C,4.0 units,Lecture,30623R,1.0,2:00-3:50pm,"Tue, Thu",40.0,0.0,0.0,Feng Qian,SOSB46,CSCI
,,,,Discussion,30505R,1.0,11:00-11:50am,Friday,40.0,0.0,0.0,Feng Qian,GFS116,CSCI
,,,,Lecture,30454R,1.0,2:00-3:50pm,"Tue, Thu",40.0,0.0,0.0,Cauligi Raghavendra,WPHB28,CSCI
,,,,Discussion,30503R,1.0,5:00-5:50pm,Wednesday,40.0,0.0,0.0,Cauligi Raghavendra,DMC101,CSCI
,,,,Lecture,30500R,1.0,10:00-11:50am,"Tue, Thu",30.0,0.0,0.0,Ali Zahid,OHE122,CSCI
,,,,Lecture,30545D,14.0,10:00-11:50am,"Tue, Thu",30.0,0.0,0.0,Ali Zahid,DEN@Viterbi,CSCI
,,,,Discussion,30504R,1.0,1:00-1:50pm,Friday,30.0,0.0,0.0,Ali Zahid,OHE122,CSCI
,,,,Discussion,30546D,14.0,1:00-1:50pm,Friday,30.0,0.0,0.0,Ali Zahid,DEN@Viterbi,CSCI
,,,,Quiz,30684R,1.0,7:00-9:15pm,Friday,40.0,0.0,0.0,Ali Zahid,OFFICE,CSCI
,,,,Quiz,31186D,14.0,4:00-5:50pm,Friday,30.0,0.0,0.0,Ali Zahid,DEN@Viterbi,CSCI
CSCI-452,Parallel and Distributed Computation,P,4.0 units,Lecture,30408D,1.0,2:00-3:20pm,"Tue, Thu",60.0,0.0,0.0,,ZHS252,CSCI
