Course number,Course title,Instructor
COMM-494x,Research Practicum,
,,
,,
COMM-495,Honors Seminar,Mike Ananny
COMM-498,Ethical Issues in Entertainment and Communication,Robert Scheer
COMM-502,Theoretical Approaches to Multidisciplinary Design Projects,Colin Doty
,,Morten Bay
,,Morten Bay
COMM-522,Kenneth Burke's Dramatistic Theory,Tom Hollihan
COMM-526,Humanistic and Social Scientific Approaches to Human Communication II,Henry Jenkins
COMM-552,Qualitative Research Methods in Communication,Patricia Riley
COMM-557,Data Science for Communication and Social Networks,Luca Luceri
COMM-559,"Globalization, Communication and Society",Manuel Castells
COMM-585,Organizational Communication,Patricia Riley
COMM-615,Health Communication,Robin Stevens
COMM-616,Meta-Analysis in Health Communication,Lynn Miller
COMM-620,Studies in Communication Theory,
,The Practice of Research,Lindsay Young
COMM-647x,Network Society,Manuel Castells
COMM-649,Methodologies in Cultural Studies,Cristina Visperas
COMM-650,Survey Construction and Validation,Sheila Murphy
COMM-672,Experiments in Critical Writing,Josh Kun
COMM-675,Independent Study,
,,
,,
,,
,,
COMM-694,Preliminary Research Paper,
,,
COMM-790,Research,
,,
,,
,,
COMM-794a,Doctoral Dissertation,
COMM-794b,Doctoral Dissertation,
COMM-794c,Doctoral Dissertation,
COMM-794d,Doctoral Dissertation,
COMM-794z,Doctoral Dissertation,
BISC-101Lxg,Cellular and Molecular Biology,Raffaella Ghittoni
,,
,,
,,
BISC-102Lxg,Humans and Their Environment,Carly Kenkel
,,
,,
,,
,,
,,
,,
,,
,,
,,
BISC-104Lxg,How the Body Works,Rita Barakat
,,
,,
,,
,,
,,
,,
BISC-108L,Special Laboratory I,Cameron Egan
BISC-109L,Special Laboratory II,Cameron Egan
BISC-120Lg,General Biology: Organismal Biology and Evolution,Cameron Egan
,,Trond Sigurdsen
,,Andrew Gracey
,,Cameron Egan
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
BISC-121Lg,Advanced General Biology: Organismal Biology and Evolution,Jed Fuhrman David Hutchins
,,Christa Bancroft Raffaella Ghittoni
,,
,,
,,Nancy Castro
,,Rory Spence
BISC-150Lxg,The Nature of Human Health and Disease,Raffaella Ghittoni Rory Spence
,,
,,
,,
,,
,,
,,
BISC-193,Introduction to Research I,Albert Herrera
BISC-220Lg,General Biology: Cell Biology and Physiology,Albert Herrera
,,
,,
,,
,,
,,
,,
,,
BISC-230Lxg,The Biology of the Brain,Rita Barakat
,,
,,
,,
BISC-290,Introduction to Biological Research,Cameron Egan
,,Cameron Egan
BISC-314L,Cell Culture,Rory Spence
,,
BISC-315L,Introduction to Ecology,Cameron Egan
,,
BISC-320Lg,Molecular Biology,Oscar Aparicio Irene Chiolo Carolyn Phillips
,,Oscar Aparicio Irene Chiolo Carolyn Phillips
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
BISC-325,Genetics,Sergey Nuzhdin Trond Sigurdsen
,,
,,
,,
,,
,,
,,
,,
,,
BISC-330L,Biochemistry,Christa Bancroft Grayson Jaggers
,,
,,
,,
BISC-350,Bioethics,Nancy Castro
BISC-365,Phylogenetics and Evolution,Trond Sigurdsen
BISC-372,Cell Biology,Rory Spence Xianrui Cheng
,,
BISC-401,Introduction to Computational Analysis of Biological Data,Peter Calabrese
,,
,,
,,
BISC-403,Advanced Molecular Biology,Oscar Aparicio Irene Chiolo Matt Michael
,,
,,
BISC-406L,Biotechnology,Christa Bancroft
,,
BISC-421,Neurobiology,Dion Dickman Emily Liman Lauren McElvain
,,
,,
,,
,,
,,
,,
,,
,,
BISC-438,Nutritional Biochemistry,Grayson Jaggers
BISC-444,Practical Analysis of Biological Data in R,Matt Dean
,,Matt Dean
BISC-450L,Principles of Immunology,Raffaella Ghittoni
,,
,,
BISC-460,Seminar in Marine and Environmental Biology,
,CEED Seminar Series,Cameron Egan
BISC-461,Seminar in Molecular and Computational Biology,
,The Cellular Basis of Learning and Memory,Don Arnold
BISC-462,Seminar in Neurobiology,
,Systems Neuroscience: From Foundational Studies to Today,Judith Hirsch
BISC-473L,Biological Oceanography,Jed Fuhrman Naomi Levine
,,
,,
BISC-487,"Regenerative Medicine: Principles, Paradigms and Practice",
BISC-490x,Directed Research,Cameron Egan
BISC-493x,Honors Seminar,Suzanne Edmands John Tower
BISC-494x,Honors Thesis,Suzanne Edmands John Tower
BISC-502a,Molecular Genetics and Biochemistry,Xianrui Cheng Irene Chiolo Carolyn Phillips Ian Ehrenreich
BISC-504L,Laboratory Techniques in Cellular and Molecular Biology,Carolyn Phillips
BISC-515,Evolution and Human Biology,Craig Stanford Michael Campbell Tito Borner Chrisandra Kufeldt
BISC-529,Seminar in Marine Biology,Andrew Steen
BISC-532,Advanced Seminar in Molecular and Microbial Ecology,Jed Fuhrman Douglas Capone
BISC-533,Advanced Seminar in Remote Sensing and Modeling,Dale Kiefer James Moffett
BISC-541,Introduction to Scientific Journal Writing,David Hutchins
BISC-542,Seminar in Molecular Biology,Susan L Forsburg
BISC-544,Advanced Reading in Molecular Biology,Susan L Forsburg
,,Cornelius Gati
BISC-546,Hypothesis Design and Scientific Writing,Derrick Morton Carolyn Phillips
BISC-549,Seminar in Integrative and Evolutionary Biology,Casey Donovan
BISC-580,Readings in Marine and Environmental Biology,Eric Webb
BISC-588,Introduction to Bioinformatics,Carly Kenkel Naomi Levine
BISC-590,Directed Research,Lorraine Turcotte
BISC-593,Practicum in Teaching the Biological Sciences,Rory Spence
,,Chrisandra Kufeldt
BISC-596,Internship for Curricular Practical Training,Lorraine Turcotte
BISC-790,Research,Lorraine Turcotte
BISC-794a,Doctoral Dissertation,
BISC-794b,Doctoral Dissertation,
BISC-794c,Doctoral Dissertation,
BISC-794d,Doctoral Dissertation,
BISC-794z,Doctoral Dissertation,
ACCT-370,External Financial Reporting Issues,
,,
,,
,,
ACCT-371,Introduction to Accounting Systems,Andreas Simon
,,Andreas Simon
,,Andreas Simon
,,Andreas Simon
ACCT-405,Introduction to Sustainability Reporting,Patricia Dechow
ACCT-410x,Foundations of Accounting,Zivia Wilson Sweeney
,,
,,Zivia Wilson Sweeney
,,Tracie Majors
,,
,,Ruben Davila
ACCT-416,Financial Statement Analysis,Tony Aaron
,,Tony Aaron
ACCT-451,Tax Analysis with Data Analytics,Shiing-Wu Wang
,,Shiing-Wu Wang
,,Shiing-Wu Wang
ACCT-456,Auditing with Data Analytics,Tracie Majors
,,Tracie Majors
,,Tracie Majors
ACCT-470,Advanced External Financial Reporting Issues,Smrity Randhawa
ACCT-490x,Directed Research,
ACCT-494,Marshall Honors Research and Thesis,Maria Ogneva
ACCT-505,Business Sustainability Reporting and Analysis,Patricia Dechow
,,Patricia Dechow
ACCT-528,"Fair Value Accounting: GAAP, IFRS and Emerging Issues",
,,
,,
,,
ACCT-529,Tax Data Analytics,Charles Swenson
ACCT-531t,Taxation of Cross-Border Transactions Using Data Analytics,Charles Swenson Shiing-Wu Wang
,,Charles Swenson Shiing-Wu Wang
ACCT-532,Financial Accounting for Mergers and Acquisitions,
,,
ACCT-533,Mergers and Acquisitions: Tax Planning and Strategy,Shiing-Wu Wang
,,Shiing-Wu Wang
ACCT-549,Advanced Enterprise Systems and Technologies,Daniel O'Leary
,,Daniel O'Leary
ACCT-551t,Taxation of Partnerships,Michael Paranal
ACCT-554t,"Research, Theory and Ethics in Taxation",Jack Barcal Diane Comi
,,Jack Barcal Diane Comi
ACCT-559,Strategy and Operations Through CFO Lens,Herbert Perlmutter
,,Herbert Perlmutter
,,Herbert Perlmutter
,,Herbert Perlmutter
ACCT-561t,Income Tax of Corporations and Their Shareholders,
ACCT-581,Financial Statement Analysis,Richard Sloan
,,Richard Sloan
ACCT-583,Income Tax Accounting and Auditing,Paul Bader
ACCT-585,Professional Responsibilities in Accounting,Lori Smith
,,Lori Smith
ACCT-611,Selected Topics in Accounting Research,Clive Lennox
ACCT-621,Research Forum,Clive Lennox
AHIS-100g,Introduction to Visual Culture,Samantha Burton
,,
,,
,,
,,
,,
,,
AHIS-120gp,Foundations of Western Art: Prehistoric to Renaissance,Hector Reyes
,,
,,
,,
,,
,,
,,
AHIS-125gp,Arts of Asia: Antiquity to 1300,
,,
,,
AHIS-201g,Digging into the Past,John Pollini
,,
,,
AHIS-304mg,"Art, Power and Identity in Renaissance Italy",Lisa Pon
AHIS-321,Greek Art and Archaeology,John Pollini
AHIS-324,Late Antique Art and Archaeology,Ann Marie Yasin
AHIS-344,Baroque Art,Hector Reyes
AHIS-366g,"Picturing Democracy: American Art and Visual Culture, 1750-1900",Kate Flint
AHIS-369,Modern Art II: 1851-1940,Amy Ogata
AHIS-373g,History and Theory of Photography,Samantha Burton
AHIS-400x,Undergraduate Apprenticeship,
AHIS-415,Object-Worlds: Histories and Theories of Things,Ann Marie Yasin
AHIS-449,History of Prints and Drawings,Lisa Pon
AHIS-483,East Asian Garden and Designed Landscape,Miya Elise Desjardins
AHIS-490x,Directed Research,
AHIS-494,Undergraduate Proseminar in Art History,Hector Reyes
AHIS-495a,Undergraduate Honors Thesis,
AHIS-495b,Undergraduate Honors Thesis,
AHIS-500,Methods and Theory of Art History,Vittoria Di Palma
AHIS-515,Seminar in Contemporary Art,Suzanne Hudson
AHIS-590,Directed Research,
AHIS-593x,Practicum in Teaching the Liberal Arts,
AHIS-790,Research,
AHIS-794a,Doctoral Dissertation,
AHIS-794b,Doctoral Dissertation,
AHIS-794c,Doctoral Dissertation,
AHIS-794d,Doctoral Dissertation,
AHIS-794z,Doctoral Dissertation,
AMST-101mgw,Race and Class in Los Angeles,Chrisshonna Nieva
,,
,,
,,
,,
,,
,,
AMST-135mgw,Peoples and Cultures of the Americas,Alicia Chavez
,,
,,
,,
,,
,,
,,
,,
,,
AMST-150gw,The American War in Viet Nam,Rick Berg
,,
,,
AMST-200mg,Introduction to American Studies and Ethnicity,Alicia Chavez
,,
,,
,,
,,
AMST-201g,LGBTQ America,Joshua Mitchell
AMST-205g,Introduction to American Popular Culture,Joshua Mitchell
,,
,,
AMST-206mg,The Politics and Culture of the 1960s,Chrisshonna Nieva
,,
,,
AMST-252mgw,Black Social Movements in the U.S.,Francille Wilson
,,
,,
,,
,,
,,
,,
AMST-274mw,Exploring Ethnicity through Film,Chris Finley
,,
,,
AMST-301gp,"America, the Frontier, and the New West",Chris Finley
,,
,,
,,
,,
,,
,,
AMST-326,Latinx Media Studies,Teresa Delfin
AMST-328,Asian American Politics,Jane Junn
AMST-343,"Food, Health and Culture in Los Angeles",Sarah Portnoy
AMST-345,Law and American Indian Studies,Deanna Rivera
AMST-350,Junior Seminar in American Studies and Ethnicity: Theories and Methods,Chris Finley
AMST-365,Leadership in the Community -- Internship,Stanley Huey
AMST-383,Jews in American Popular Culture,Leah Hochman
AMST-392,Undergraduate Research Methods,George Sanchez
AMST-406,Social Media Storytelling for Latinx Audiences,Amara Aguilar
AMST-414,Latina/o Screen Cultures,Laura Isabel Serna
AMST-424m,Political Participation and American Diversity,Morris Levy
AMST-490x,Directed Research,
,,
AMST-492,Research Methods in American Studies and Ethnicity,Lanita Jacobs
AMST-500,Introduction to American Studies and Ethnicity,Natalia Molina
AMST-552,Archives and Subcultures,Nayan Shah
AMST-554,Readings in Chicano/Latino History,George Sanchez
AMST-562,The Practice of Ethnography,Eduardo Romero Dianderas
AMST-590,Directed Research,
AMST-593,Practicum in Teaching the Liberal Arts: American Studies,Alicia Chavez
AMST-680,Interdisciplinary Research Seminar in Cultural Studies,John Rowe
AMST-700,Theories and Practices of Professional Development,John Rowe
AMST-790,Research,
AMST-794a,Doctoral Dissertation,
AMST-794b,Doctoral Dissertation,
AMST-794c,Doctoral Dissertation,
AMST-794d,Doctoral Dissertation,
AMST-794z,Doctoral Dissertation,
ANTH-101g,"Body, Mind and Healing: Introduction to Medical Anthropology",Erin Moore
ANTH-105g,"Culture, Medicine and Politics",Silvana Matassini Eyzaguirre
ANTH-140g,Mesoamerican Cosmovision and Culture,Eric Heller
,,Eric Heller
,,Eric Heller
,,Eric Heller
,,Eric Heller
ANTH-200Lg,The Human Animal,Chrisandra Kufeldt
,,
,,
,,
,,
,,
,,
,,
,,
,,
ANTH-201g,Introduction to Social and Cultural Anthropology,Emily Zeamer
,,
,,
,,
,,
ANTH-202g,Archaeology: Our Human Past,Tracie Mayfield
,,Tracie Mayfield
,,Tracie Mayfield
,,Tracie Mayfield
,,Tracie Mayfield
ANTH-203g,Global Media,Jennifer Cool
ANTH-205g,Introduction to Global Studies and Cross-cultural Research,Hrag Papazian
ANTH-220g,Anthropology of the Environment,Eduardo Romero Dianderas
ANTH-263g,Exploring Culture through Film,Xochitl Ruiz
,,
,,
,,
,,
,,Jennifer Cool
,,
,,
,,
,,
ANTH-272,Mindfulness and Culture,Thomas Ward
ANTH-273gw,"Shamans, Spirits and Ancestors: Non-Western Religious Tradit",Janet Hoskins
ANTH-300,"Evolution, Ecology, and Culture",Michael Campbell
ANTH-308,Origins and Evolution of Human Behavior,Chrisandra Kufeldt
ANTH-316mgp,Native Americans in American Public Life,Tok Thompson
,,Kristiana Willsey
,,Kristiana Willsey
,,Kristiana Willsey
,,Kristiana Willsey
ANTH-321,"Space, Place, Perception and Power",Eric Heller
ANTH-332g,Anthropology and Narrative Medicine,Kristiana Willsey
ANTH-336,"Health, Gender and Ethnicity",Atia Sattar
ANTH-338g,Food in Culture and Society,Xochitl Ruiz
ANTH-345,"Politics, Social Organization and Law",Erin Moore
ANTH-372,Interpretation of Myth and Narrative,Tok Thompson
ANTH-410,Ethnographic Research Methods,Fiori Berhane
ANTH-415,Global Issues Seminar,Peter Redfield
ANTH-440,History of Anthropological Theory,Xochitl Ruiz
ANTH-441w,Cities of the Middle East,Bandar Alsaeed
ANTH-490x,Directed Research,Peter Redfield
ANTH-491,Directed Research for Honors,Peter Redfield
ANTH-501,History and Foundations of Anthropology,Fiori Berhane
ANTH-562,The Practice of Ethnography,Eduardo Romero Dianderas
ANTH-570,Topics in Ethnographic Media Arts,
,Ethnofiction,Stephanie Spray
ANTH-575,Seminar in Ethnographic Film,Nancy Lutkehaus
ANTH-590,Directed Research,Peter Redfield
,,
ANTH-593,Practicum for Teaching in Anthropology,Emily Zeamer
ANTH-596,Internship for Curricular Practical Training,Peter Redfield
ANTH-790,Research,Peter Redfield
ASTR-100Lxg,The Universe,Nicholas Warner
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,Vahe Peroomian
,,
,,
,,
,,
,,
,,
,,
,,
,,
ASTR-104L,Special Laboratory,
ASTR-200Lg,Life in the Universe,Vahe Peroomian
,,
,,
,,
,,
,,
,,
ASTR-400,The Solar System,Edward Rhodes
ASTR-490x,Directed Research,
BIOC-511,Foundations for Molecular Medicine,
BIOC-561,Molecular Biology,
BIOC-573,Optimal Research Presentations,
BIOC-581,Toolbox for Biochemistry and Molecular Biology,Pragna Patel
,,
BIOC-582,Exploring the Path from Data to Publication,
BIOC-590,Directed Research,
BIOC-594a,Master's Thesis,
BIOC-594b,Master's Thesis,
BIOC-594z,Master's Thesis,
BIOC-596,Internship for Curricular Practical Training,
BIOC-790,Research,Sita Reddy
BIOC-794a,Doctoral Dissertation,Sita Reddy
BIOC-794b,Doctoral Dissertation,Sita Reddy
BIOC-794c,Doctoral Dissertation,Sita Reddy
BIOC-794d,Doctoral Dissertation,Sita Reddy
BIOC-794z,Doctoral Dissertation,Sita Reddy
CHEM-050x,General Chemistry Tutorial,
CHEM-102,The Molecular World,Jessica Parr
,,
CHEM-103Lxg,General Chemistry for the Environment and Life,Thomas Bertolini
,,
,,
,,
,,
,,
,,
CHEM-105aLg,General Chemistry,Thomas Bertolini
,,
,,Stuart Moon
,,
,,Jessica Parr
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CHEM-105bL,General Chemistry,Rebecca Broyer
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CHEM-107Lg,General Chemistry for Chemistry Majors,Alexander Benderskii
,,
,,
,,
,,
,,
CHEM-115aLg,Advanced General Chemistry,Hanna Reisler Jessica Parr
,,
,,
,,
,,
,,
CHEM-204Lg,"Pandemics Shaping Our World: Past, Present and Future",Charles Mc Kenna
,,
,,
,,
CHEM-205Lxg,"Chemical Forensics: The Science, and Its Impact",Thomas Bertolini Rebecca Broyer
,,
,,
,,
,,
,,
,,
CHEM-250x,Organic Chemistry Tutorial A,Rebecca Broyer
CHEM-290aL,Special Laboratory,
CHEM-290bL,Special Laboratory,
CHEM-290cL,Special Laboratory,
CHEM-290dL,Special Laboratory,
CHEM-292,Supervised Research,
CHEM-294,Undergraduate Research Seminar,Susumu Takahashi
CHEM-300L,Analytical Chemistry,Michael Inkpen
,,
,,
,,
,,
CHEM-322aL,Organic Chemistry,Stuart Moon
,,Kyung Jung
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CHEM-322bL,Organic Chemistry,Rebecca Broyer
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CHEM-325aL,Organic Chemistry,Travis Williams
,,
,,
,,
,,
,,
,,
CHEM-330L,Biochemistry,Christa Bancroft Grayson Jaggers
,,
,,
,,
CHEM-350,Molecular Principles of Biochemistry,Chiho Mak
,,
,,
,,
,,
CHEM-426,Advanced Organic Chemistry,Chao Zhang
CHEM-430,Physical Chemistry: Thermodynamics and Kinetics,Jahan Dawlaty
,,
,,
,,
CHEM-467,Advanced Chemical Biology Laboratory,Peter Qin
CHEM-490x,Directed Research,
CHEM-494x,Advanced Research Experience,
,,
CHEM-515,Structure and Bonding in Inorganic and Organometallic Chemis,Richard Brutchey
,,
CHEM-516,"Synthesis, Reactivity, and Mechanism in Inorganic and Organo",Megan Fieser
CHEM-521,Basic Principles of Physical Methods in Biochemistry,Peter Qin
CHEM-526,Structure and Mechanism in Organic Chemistry,Elias Picazo
,,
CHEM-538,Mathematical Techniques of Physical Chemistry,Andrey Vilesov
CHEM-544,Introduction to Quantum Chemistry,Susumu Takahashi
CHEM-545,Theory and Practice of Molecular Electronic Structure,Anna Krylov
CHEM-550,Special Topics in Chemical Physics,Curt Wittig
CHEM-570,Seminar in Chemical Biology,Matthew Pratt
CHEM-580,Current Topics in Inorganic Chemistry and Nanoscience,Richard Brutchey
,,
CHEM-590,Directed Research,
CHEM-593x,Practicum in Teaching Chemistry,
CHEM-594a,Master's Thesis,
CHEM-594b,Master's Thesis,
CHEM-594z,Master's Thesis,
CHEM-596,Internship for Curricular Practical Training,
CHEM-790,Research,
CHEM-794a,Doctoral Dissertation,
CHEM-794b,Doctoral Dissertation,
CHEM-794c,Doctoral Dissertation,
CHEM-794d,Doctoral Dissertation,
CHEM-794z,Doctoral Dissertation,
CLAS-101gp,State and Society in the Ancient World,Maya Maskarinec
,,
,,
CLAS-151gp,The Legacy of Rome,Frederic Clark
,,
,,
,,
,,
,,
,,
,,
,,
CLAS-202g,Archaeology: Our Human Past,Tracie Mayfield
,,Tracie Mayfield
,,Tracie Mayfield
,,Tracie Mayfield
,,Tracie Mayfield
CLAS-280gp,Classical Mythology in Art and Literature,Lucas Herchenroeder
,,
,,
,,
,,
CLAS-307,Law and Society in Classical Greece,Susan Lape
CLAS-321,Greek Art and Archaeology,John Pollini
CLAS-324,Late Antique Art and Archaeology,Ann Marie Yasin
CLAS-337gp,Ancient Drama,Afroditi Angelopoulou
,,
,,
CLAS-348g,Athens in the Age of Democracy and Empire,Stefano Rebeggiani
,,
,,
CLAS-410,Capstone Research Seminar,Lucas Herchenroeder
CLAS-415,Object-Worlds: Histories and Theories of Things,Ann Marie Yasin
CLAS-490x,Directed Research,Lucas Herchenroeder
CLAS-520,Approaches to Antiquity,
,Introduction to Byzantine Studies,Alexandre Roberts
CLAS-560,Seminar in Republican Latin Literature,
,Ovid's Fasti and Imperial Rome,Anthony Boyle
CLAS-565,Seminar in Theoretical Approaches to Greek/Roman Culture and,
,Critical Theory and Roman Comedy,Brandon Bourgeois
CLAS-590,Directed Research,Stefano Rebeggiani
CLAS-593x,Practicum in Teaching Liberal Arts: Classics,Stefano Rebeggiani
CLAS-794a,Doctoral Dissertation,
CLAS-794b,Doctoral Dissertation,
CLAS-794c,Doctoral Dissertation,
CLAS-794d,Doctoral Dissertation,
CLAS-794z,Doctoral Dissertation,
ENGL-105x,Creative Writing for Non-Majors,Robin Lewis
,,
,,
,,
,,
,,
,,
ENGL-176g,"Los Angeles: the City, the Novel, the Movie",Thomas Gustafson
,,
,,
,,
,,
,,
,,
ENGL-230g,Shakespeare and His Times,Ian Smith
,,
,,
,,
,,
ENGL-240,Literary Arts,Melissa Daniels-Rauterkus
,,David Roman
,,Corrine Collins
ENGL-261g,English Literature to 1800,Ian Smith
,,Steven Minas
,,Anthony Kemp
ENGL-262g,English Literature since 1800,Margaret Russett
,,Ashley Cohen
ENGL-263g,American Literature,Jane Hu
,,David Roman
ENGL-270g,Studying Narrative,Aimee Bender
,,Sara Sligar
ENGL-280g,Introduction to Narrative Medicine,Erika Wright
ENGL-298g,Introduction to the Genre of Fiction,Kerry Ingram
,,
,,
,,
,,
,,
,,
ENGL-299g,Introduction to the Genre of Poetry,Catherine Theis
,,
,,
,,
,,
,,
,,
ENGL-302,Writing Narrative,Marci Vogel
ENGL-303,Introduction to Fiction Writing,Kerry Ingram
,,Percival Everett
,,
ENGL-304,Introduction to Poetry Writing,Molly Bendall
,,Catherine Theis
ENGL-305,Introduction to Creative Nonfiction,David Ulin
ENGL-310,Editing for Writers,Marci Vogel
ENGL-325g,"Pre-Modern Wonders: Magic, Monsters and Marvels",Thea Tomaini
ENGL-342g,Women in English and American Literature after 1800,Molly Bendall
ENGL-344mg,Sexual/Textual Diversity,Sarah Kessler
ENGL-361g,Contemporary Prose,Jonathan Leal
ENGL-362g,Contemporary Poetry,Robin Lewis
,,
,,
ENGL-363g,Contemporary Drama,Ben Levine
ENGL-371g,Literary Genres and Film,Rick Berg
ENGL-372,Literature and Related Arts,Enrique Martinez Celaya
ENGL-405,Fiction Writing,Percival Everett
,,
ENGL-406,Poetry Writing,Susan Mccabe
ENGL-407,Advanced Fiction Writing,Aimee Bender
ENGL-422,English Literature of the 17th Century,Steven Minas
ENGL-430,Shakespeare,Thea Tomaini
ENGL-440,American Literature to 1865,Thomas Gustafson
ENGL-446,Contemporary African American Literature,Melissa Daniels-Rauterkus
ENGL-454,Aesthetic Philosophy and Theory,Mlondolozi Zondi
ENGL-490x,Directed Research,Beatrice Sanford Russell
ENGL-491,Senior Seminar in Literary Studies,Corrine Collins
,,Anna Journey
,,Heather James
ENGL-492,Narrative Studies Capstone Seminar,Sara Sligar
ENGL-501,History of Literary and Cultural Theory,Dana Johnson
ENGL-502,Contemporary Literary and Cultural Theory,Jonathan Leal
ENGL-535,Literatures and Cultures of the Romantic Period,Margaret Russett
ENGL-540,19th Century British Literatures and Cultures,Kate Flint
ENGL-563,Poetry and Prose into Drama,
ENGL-601,Introduction to Literary Editing and Publishing,Brighde Mullins
ENGL-603,The Editorial Experience: The Craft of Publication,Amy Meyerson
ENGL-604,The Nonfiction Experience: A Literary-Editorial Focus,
,A Literary-Editorial Focus,Ellen Wayland-Smith
ENGL-606a,The Literary Landscape: Digital Toolkit,Sarah Mesle
ENGL-609a,Internship in Editing and Publishing: Eloquence and Ethics,David Ulin
ENGL-640,Individual Writers,Maggie Nelson
ENGL-650,Multicultural Literary Studies,Jane Hu
ENGL-660,Studies in Genre,Elda Maria Roman
ENGL-678,Seminar in Film Theory and Medium Specificity,Jennifer Wild
ENGL-693,Graduate Nonfiction Form and Theory,David Treuer
ENGL-696,Graduate Poetry Writing Workshop,Anna Journey
ENGL-697,Graduate Fiction Writing Workshop,Danzy Senna
ENGL-698,Graduate Poetry Form and Theory,Susan Mccabe
ENGL-703x,Academic Writing: Journal Articles and Dissertation Chapters,Ashley Cohen
ENGL-790,Research,
ENGL-794a,Doctoral Dissertation,
ENGL-794b,Doctoral Dissertation,
ENGL-794c,Doctoral Dissertation,
ENGL-794d,Doctoral Dissertation,
ENGL-794z,Doctoral Dissertation,
FREN-012x,French 120 Language Practicum,
FREN-015x,French 150 Language Practicum,Guilan Siassi
FREN-120,French I,Julia Chamberlin
,,Julia Chamberlin
,,
,,
FREN-150,French II,Guilan Siassi
,,Guilan Siassi
,,Jennifer Misran
,,Jennifer Misran
,,Jennifer Misran
,,Mina Soroosh
FREN-175,Accelerated French for Speakers of Spanish and Other Romance Languages,Ruggero Sciuto
FREN-220,French III,Nathalie Burle
,,Nathalie Burle
,,Rania Ben Amor
,,Rania Ben Amor
,,Rania Ben Amor
,,Mina Soroosh
,,Mina Soroosh
,,
FREN-235x,Intermediate Conversational French,Julia Chamberlin
FREN-250,French IV,Robert Decker
,,
FREN-270gw,Black Europe,Edwin Hill
,,
,,
,,
,,
FREN-272gp,"Medicine, Health and the Body in Literature and Culture",Julie Van Dam
FREN-300,French Grammar and Composition,Atiyeh Showrai
FREN-330,Critical Writing in French,Beatrice Mousli
FREN-347g,"Race, Gender and Power in Francophone Literature",Robert Decker
FREN-383,French Women Writers,Antonia Szabari
FREN-393,Theories and Theorists,Natania Meeker
FREN-404,Studies in an Author,Panivong Norindr
FREN-448m,France and Islam,Olivia C Harrison
FREN-490x,Directed Research,
FREN-500,Pro-Seminar in French and Francophone Studies,Edwin Hill
FREN-592,Practicum in Teaching French,Julia Chamberlin
GERM-101,German I,Eve Lee
,,Britta Bothe
GERM-102,German II,Eve Lee
GERM-201,"German III, Conversation and Composition",
GERM-221,Conversational German IV,
GERM-470,Advanced Composition and Stylistics,Britta Bothe
HIST-101gp,State and Society in the Ancient World,Maya Maskarinec
,,
,,
HIST-103g,The Emergence of Modern Europe,Lindsay O'Neill
,,
,,
,,
,,
HIST-109g,The Latin American Experience,Joan Flores-Villalobos
,,
,,
HIST-110g,History of Early Africa,Admire Mseba
,,
,,
HIST-201,Approaches to History,Marjorie Becker
,,Benjamin Uchiyama
HIST-211gp,Race in America,
,,
,,
,,
,,
HIST-250g,"Climate Change: Science, History and Solutions",Joshua Goldstein Victoria Petryshyn
,,
,,
,,
,,
HIST-251gp,"History of Science, Technology and Medicine",Aro Velmet
,,
,,
,,
,,
HIST-266gp,"Business and East Asian Culture, 1800-Present",Brett Sheehan
,,
,,
,,
,,
,,
,,
HIST-306,The Early Middle Ages,Maya Maskarinec
HIST-317mgp,Native Americans in American Public Life,Tok Thompson
,,Kristiana Willsey
,,Kristiana Willsey
,,Kristiana Willsey
,,Kristiana Willsey
HIST-326,The Victorians,Lindsay O'Neill
HIST-334,History of the Samurai,Joan Piggott
HIST-337,Japan Since 1945,Benjamin Uchiyama
HIST-354,Mexican Migration to the United States,Laura Isabel Serna
HIST-361,20th Century U.S. History,Philip Ethington
HIST-362,Authenticity in Twentieth Century Popular Music,Alice Echols
HIST-374,History of Mexico,Marjorie Becker
HIST-411,Early Modern European Cultural History,Anne Goldgar
HIST-430,Migration and Displacement in the Indian Ocean World,Ketaki Pant
HIST-439,"Tea Culture in Premodern East Asia: Politics, Art and Trade",Rebecca Corbett
HIST-456,"Race, Slavery, and the Making of the Atlantic World",Christina Davidson
HIST-460,"War, Race, and the Constitution",Lon Kurashige
HIST-474,Death and Dying in the Americas,Laura Isabel Serna
HIST-487,The United States since 1939,Philip Ethington
HIST-490x,Directed Research,
HIST-492,Honors Thesis,Alice Baumgartner
