Course number,Course title,Instructor
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MATH-125g,Calculus I,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MATH-126g,Calculus II,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MATH-129,Calculus II for Engineers and Scientists,
,,
,,
,,
,,
,,
MATH-208x,Elementary Probability and Statistics,
MATH-225,Linear Algebra and Linear Differential Equations,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MATH-226g,Calculus III,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MATH-229,Calculus III for Engineers and Scientists,
,,
,,
,,
,,
,,
MATH-245,Mathematics of Physics and Engineering I,
,,
,,
,,
,,
,,
,,
,,
,,
MATH-290,Mathematical Reasoning and Problem Solving,
,,
MATH-307,Statistical Inference and Data Analysis I,
,,
MATH-395,Seminar in Problem Solving,
MATH-407,Probability Theory,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
MATH-408,Mathematical Statistics,
,,
,,
,,
,,
,,
MATH-410,Fundamental Concepts of Modern Algebra,
,,
MATH-425a,Fundamental Concepts of Analysis,
,,
,,
,,
MATH-430,Theory of Numbers,
,,
MATH-432,Applied Combinatorics,
MATH-434,Euclidean and Non-Euclidean Geometries,
MATH-440,Topology,
MATH-445,Mathematics of Physics and Engineering II,
,,
MATH-446,Data Science with Python,
,,
MATH-447,Mathematics of Machine Learning,
MATH-458,Numerical Methods,
,,
,,
,,
,,
,,
MATH-467,Theory and Computational Methods for Optimization,
,,
MATH-490x,Directed Research,
MATH-502a,Numerical Analysis,
MATH-505a,Applied Probability,
MATH-507a,Theory of Probability,
MATH-509,Stochastic Differential Equations,
MATH-510a,Algebra,
MATH-511aL,Data Analysis,
,,
,,
MATH-511bL,Data Analysis,
,,
MATH-512,Financial Informatics and Simulation (Computer Labs and Prac,
,,
,,
MATH-513,Lie Theory,
MATH-525a,Real Analysis,
MATH-530a,Stochastic Calculus and Mathematical Finance,
MATH-532,Combinatorial Analysis,
MATH-535b,Differential Geometry,
MATH-540,Topology,
MATH-541b,Introduction to Mathematical Statistics,
MATH-546,Mathematical Statistics for Data Science,
MATH-547,Mathematical Foundations of Statistical Learning Theory,
MATH-549,Foundations of Mathematical Data Science,
MATH-550,Statistical Consulting and Data Analysis,
MATH-555a,Partial Differential Equations,
MATH-577,Computational Molecular Biology Laboratory,Mark Chaisson
MATH-590,Directed Research,
,,
MATH-594a,Master's Thesis,
MATH-594b,Master's Thesis,
MATH-594z,Master's Thesis,
MATH-595,Practicum in Teaching the Liberal Arts: Mathematics,
MATH-596,Internship for Curricular Practical Training,
MATH-613,Topics in Representation Theory,
MATH-625,Topics in Real Analysis,Igor Kukavica
MATH-635,Topics in Differential Geometry,
MATH-702,Seminar in Numerical Analysis,
MATH-705,Seminar in Probability,
